S.no.,Company,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel_lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Gear_Indicator,Drive_Modes,ABS_Anti_lock_Braking_System,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Parking_Assistance,Infotainment_Screen
0,Tata,Nano Genx,Xt,292667,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6,20 km/litre,23.6 km/litre,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Digital,Front,Front,No,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
1,Tata,Nano Genx,Xe,236447,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6,20 km/litre,23.6 km/litre,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electro-Hydraulic Power,All Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Digital,Front,Front,No,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
2,Tata,Nano Genx,Emax Xm,236447,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4,23.6,20 km/litre,21 km/litre,710 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Digital,Front,Front,No,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
3,Tata,Nano Genx,Xta,236447,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6,20 km/litre,21.9 km/litre,725 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Automatic,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Digital,Front,Front,No,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
4,Tata,Nano Genx,Xm,236447,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6,20 km/litre,23.6 km/litre,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Digital,Front,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
5,Tata,Nano Genx,Xma,236447,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6,20 km/litre,21.9 km/litre,710 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,All Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Digital,Yes,4,Fabric,Automatic,Yes,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Digital,Front & Rear,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
6,Datsun,Redi-Go,D,236447,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,24 km/litre,25.17 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electro-Hydraulic Power,All Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,No,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Digital,Front & Rear,Front & Rear,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
7,Datsun,Redi-Go,T,236447,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,24 km/litre,25.17 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Digital,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
8,Datsun,Redi-Go,A,236447,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,24 km/litre,25.17 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Internal,222 litres,Yes,Yes,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
9,Datsun,Redi-Go,S,236447,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,24 km/litre,25.17 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,No,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,"With Remote, Internal",222 litres,Yes,Yes,Analog,Front & Rear,Front & Rear,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
10,Datsun,Redi-Go,1.0 S,236447,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,20 km/litre,22.5 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,"With Remote, Internal",222 litres,Yes,Yes,Analog,Front,Front & Rear,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
11,Datsun,Redi-Go,1.0 S Amt,236447,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,21.38,20 km/litre,23 km/litre,950 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,155/80R13,155/80R13,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Automatic,Yes,CD Player with USB & Aux-in,2 years / Unlimited Kms,No,"Internal, With Remote",222 litres,Yes,Yes,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,No,Yes,Yes,Rear sensors with camera,Touch Sensitive
12,Renault,Kwid,Rxe 0.8,353290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,25.17 km/litre,669 kg,6,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electro-Hydraulic Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
13,Renault,Kwid,Std 0.8,283290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,25.17 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electro-Hydraulic Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",No,Internal,300 litres,Yes,No,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
14,Renault,Kwid,Rxl 0.8,383290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,25.17 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
15,Renault,Kwid,Rxt 0.8,413290,799 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1580 mm,Hatchback,5,25.17,20 km/litre,25.17 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Analog,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
16,Renault,Kwid,Rxt 1.0,433290,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,23.01 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
17,Renault,Kwid,Climber 1.0 Mt,454490,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,23.01 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,Front Row,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
18,Renault,Kwid,Rxt Amt 1.0,463290,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,24.04 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,Yes,CD/MP3/DVD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,Front Row,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
19,Renault,Kwid,Climber Amt 1.0,484490,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,24.04 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,Yes,CD/MP3/DVD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,Front Row,1370 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
20,Renault,Kwid,Rxt (O) 1.0,440990,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,23.01 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Heater,Yes,Normal,Yes,All Rows,1370 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,23.01 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Heater,Yes,Normal,Yes,All Rows,1370 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,23.01 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Heater,Yes,Normal,Yes,Front Row,1370 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,25.17,20 km/litre,24.04 km/litre,669 kg,5,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,Yes,CD/MP3/DVD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300 litres,Yes,Yes,Digital,Front,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Heater,Yes,Normal,Yes,Front Row,1370 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
24,Maruti Suzuki,Eeco,5 Str,352136,1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5,12,15 km/litre,15 km/litre,920 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electro-Hydraulic Power,Only Front Windows,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,Yes,CD/MP3/DVD Player with USB & Aux-in,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,400 litres,Yes,Yes,Analog,Front & Rear,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Manual,Digital,Manual,Analog + Digital,Yes,4.5 meter,Yes,Driver & Front Passenger,Heater,No,Normal,Yes,All Rows,1510 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
25,Maruti Suzuki,Eeco,7 Str,380573,1196 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5,12,15 km/litre,15 km/litre,940 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,Electro-Hydraulic Power,Only Front Windows,74PS@6000RPM,101Nm@3000rpm,Digital,Analog,Digital,Yes,7,Fabric,Manual,Yes,CD/MP3/DVD Player with USB & Aux-in,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,250 litres,Yes,Yes,Analog,Front & Rear,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.5 meter,Yes,Driver & Front Passenger,Heater,No,Normal,Yes,All Rows,1540 kg,Driver frontal airbag,Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
