S.no.,Company,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel_lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Gear_Indicator,Drive_Modes,ABS_Anti_lock_Braking_System,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Parking_Assistance,Infotainment_Screen
133,Hyundai,Aura,E 1.2 Petrol,579900,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual,286 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"4th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,Front Row,1171 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
134,Hyundai,Aura,S 1.2 Petrol,655900,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,USB & Aux-in,2 years / Unlimited Kms,Yes,Manual,287 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"5th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1172 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
135,Hyundai,Aura,S 1.2 Amt Petrol,705800,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.1 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,Yes,USB & Aux-in,2 years / Unlimited Kms,Yes,Manual,288 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"6th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1173 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
136,Hyundai,Aura,Sx 1.2 Petrol,729900,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,USB & Aux-in,2 years / Unlimited Kms,Yes,"Manual, With Remote",289 litres,Yes,Yes,Digital,Front & Rear,Front & Rear,Yes,"7th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1174 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
137,Hyundai,Aura,Sx Plus 1.2 Amt Petrol,804800,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.1 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,Yes,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,"Manual, With Remote",290 litres,Yes,Yes,Digital,Front & Rear,Front & Rear,Yes,"8th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Normal,Yes,Second Row,1175 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
138,Hyundai,Aura,Sx (O) 1.2 Petrol,785900,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,Yes,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,"Manual, Internal",291 litres,Yes,Yes,Digital,Front & Rear,Front & Rear,Yes,"9th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Normal,Yes,Second Row,1176 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
139,Hyundai,Aura,S 1.2 Cng Petrol (Cng +,728900,1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,CNG + Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20.5 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,Only Front Windows,69PS@6000rpm,95Nm@4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,USB & Aux-in,2 years / Unlimited Kms,Yes,Manual,292 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"10th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1177 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
140,Hyundai,Aura,Sx Plus 1.0 Petrol,854900,998 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Petrol,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.5 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,All Windows,100PS@6000rpm,172Nm@1500-4000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,"Manual, With Remote",293 litres,Yes,Yes,Digital,Front & Rear,Front & Rear,Yes,"11th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Normal,Yes,All Rows,1178 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors with camera,Touch Sensitive
141,Hyundai,Aura,S 1.2 Diesel,773800,1186 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Diesel,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,25.35 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,Only Front Windows,75PS@4000rpm,190NM@1750-2250RPM,Digital,Analog,Analog,Yes,5,Fabric,Manual,Yes,USB & Aux-in,2 years / Unlimited Kms,No,Manual,294 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"12th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1179 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
142,Hyundai,Aura,S 1.2 Amt Diesel,823700,1186 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37 litres,Diesel,1520 mm,3995 mm,1680 mm,Sedan,5,18.4,20 km/litre,20.4 km/litre,950 kg,5,170 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,175/60 R15,175/60 R15,Electric Power,Only Front Windows,75PS@4000rpm,190NM@1750-2250RPM,Digital,Analog,Analog,Yes,5,Fabric,Automatic,Yes,USB & Aux-in,2 years / Unlimited Kms,Yes,Manual,295 litres,Yes,Yes,Digital,Front,Front & Rear,Yes,"13th /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.97 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Normal,Yes,All Rows,1180 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,Rear sensors,Touch Sensitive
